2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,business_id,category,name
,,,,3.4,4.26,4.12,3.75,4,4.56,4.41,4.45,4.04,PXShA3JZMXr2mEH3on5clw,American (Traditional),Egg Works
,,4.52,4.21,4.12,4.16,4.15,4.02,3.73,3.71,3.99,3.94,3.7,aT_SsfZ6GQgJGyuIv1Hapw,French,Bouchon Bakery at the Venetian Casino
,,3.5,4.5,4.38,4.05,4,4.1,4.07,4.02,4.18,3.88,3.79,UV2Jt8slktGu14gLZeNCjA,Indian,Mint Indian Bistro
,,,,5,4.82,4.61,4.74,4.79,4.66,4.72,4.61,4.71,hIUKufhwR6Ifn7bi0-phLA,French,Baguette Cafe
,5,3.73,3.59,3.38,3.38,3.19,3.18,3.06,3.52,3.24,2.79,2.67,OVTZNSkSfbl3gVB9XQIJfw,American (Traditional),Cravings Buffet
,5,3.49,3.68,3.31,3.33,3.39,3.47,3.4,3.54,3.31,3.19,3.05,_j2EtQtgLuXGRBfbM5YwZA,Chinese,Noodle Asia
,,,,,3.5,3.81,3.87,3.77,3.83,3.87,3.98,4.05,P7pxQFqr7yBKMMI2J51udw,American (Traditional),Holsteins Shakes and Buns
,5,3.13,3.26,3.22,3.24,3.27,3.11,3.25,3.1,2.88,3.05,3.2,zU9w_xRlQSRIYXxGo-HSOA,American (Traditional),Carnegie
4.5,3.83,3.87,3.9,3.89,3.87,3.99,3.82,3.76,3.7,3.84,3.86,3.76,QJR4qBUHegWEozSQrGmBPw,Mediterranean,Olives
,,,,,,,,4,3.8,3.84,4.25,4.26,nUpz0YiBsOK7ff9k3vUJ3A,American (Traditional),Buddy V's Ristorante
,,,,,,,3.6,3.63,3.85,4,3.81,3.89,Xj7DIGRHEchJ-VVdISazQQ,Mexican,Javier's
,,3.72,3.45,3.36,3.47,3.56,3.58,3.47,3.25,3.26,3.32,3.07,yfxDa8RFOvJPQh0rNtakHA,Vietnamese,Pho Kim Long
,,,,4.73,4.08,3.89,4.58,4.42,4.29,4.23,4.38,4.34,gTlDDzDEHyDQ6iwjNhpI6A,Indian,Mount Everest India's Cuisine
,,,,,,,3.3,3.81,3.9,3.95,3.88,4.05,cYwJA2A6I12KNkm2rtXd5g,American (Traditional),Gordon Ramsay BurGR
,,,,,,,4.1,4.34,4.58,4.48,4.42,4.28,ZAuAwz1ijuydn5yL3q3rzA,Japanese,Japanese Curry Zen
,,,,,4.1,4.08,4.21,4.07,4.24,4.25,4.18,4.1,UPIYuRaZvknINOd1w8kqRQ,Japanese,Monta Ramen
,,,,,,,,,4.31,4.01,3.68,4.35,6tSvz_21BMo3a4GaItwa0g,Japanese,JJANGA Japanese Restaurant
,5,4.02,3.87,3.82,3.78,3.85,3.9,3.68,3.73,3.93,3.85,3.76,R_ZlcX46pPdjhjmfd043LA,American (Traditional),Top of the World
,,,,5,3.97,4.15,3.8,4.03,3.89,4.25,4.17,4.38,SAIrNOB4PtDA4gziNCucwg,Italian,Herbs & Rye
,,,,3.23,3.23,3.12,3,2.96,2.89,3.11,3.01,2.94,eoHdUeQDNgQ6WYEnP2aiRw,American (Traditional),Serendipity 3
,,,,,,2.3,2.7,2.77,2.89,3.23,3.11,3.32,y7Js-07RF8d3N_AEtaw2VQ,American (Traditional),Heart Attack Grill
,,,,,4.41,4.16,4.42,4.37,4.31,4.33,4.31,4.24,GI-CAiZ_Gg3h21PwrANB4Q,American (Traditional),Mastro's Ocean Club
,,,,,,,4.16,4.09,4.25,4.26,4.12,3.98,4k3RlMAMd46DZ_JyZU0lMg,Japanese,Ramen Sora
,,,4.38,4.03,4.15,4.03,3.98,4.28,4.31,4.3,4.56,4.61,Qc0l8rZ3nvrcERitgxu8XA,American (Traditional),Omelet House
,,,,,,,,,,4.68,4.51,4.62,mDR12Hafvr84ctpsV6YLag,American (Traditional),Mr Mamas
,,,4.13,3.88,3.97,4.06,3.96,3.86,3.94,3.73,3.87,4.14,A5Rkh7UymKm0_Rxm9K2PJw,American (Traditional),Yard House
4.67,4.17,3.91,3.9,3.82,3.8,3.65,3.67,3.99,4.02,4.05,4,,Cr4ipI-tr-R8Q0NilkWNkA,French,MIX
,,,,,4.56,4.32,4.43,4.45,4.4,4.38,4.12,4.38,qqs7LP4TXAoOrSlaKRfz3A,American (Traditional),DW Bistro
,4,3.78,3.74,4.18,3.83,3.85,3.77,3.84,4.02,4.12,4,3.96,LFs5jyYdXlzi0SpAYi1eSA,Italian,Maggiano's Little Italy
,,,,,,,,2.77,2.73,2.38,2.27,2.25,X8c23dur0ll2D9XTu-I8Qg,Chinese,Hakkasan Nightclub
,4,3.63,3.95,3.94,4.01,4.06,4.16,3.9,3.91,3.63,3.49,3.88,7ibuDLfx8gEhESAufYIySw,Japanese,Sushi Mon
,,,,,,3.96,4.07,3.88,3.58,3.73,3.83,3.91,1ZnVfS-qP19upP_fwOhZsA,Chinese,Big Wong Restaurant
,,,,,4.6,4.48,4.43,4.45,4.52,4.25,4.13,4,CiYLq33nAyghFkUR15pP-Q,Mexican,TACOS EL GORDO
,,,,,,,,4.32,4.32,4.31,4.1,4.19,7sb2FYLS2sejZKxRYF9mtg,Japanese,Sakana
,,,,,4.2,4,4.17,3.92,4.28,4.14,4.38,3.92,vl2IZrNJEA8npSjqXbdwxw,American (Traditional),BabyStacks Cafe
,,,,,,4.8,3.47,3.74,4.5,4.48,4.6,4.43,a0v7Si0DK4cIko7AQY4YXg,American (Traditional),Egg Works
,,,,,,,4.18,4.29,3.85,4.16,4.34,3.88,dEAk-gE-5Q95a7p91gNn8A,Japanese,Sushi Koma
,,,,2.5,4.18,4.34,4.36,4.11,4.1,4.05,4.26,4.19,f9sU31meK0bqAD7922sCog,Mediterranean,Sage
